filename,true_class,score
Doga1.JPG,Doga,0.480962
Doga10.jpeg,Doga,0.341364
Doga11.JPG,Doga,0.317071
Doga12.JPG,Doga,0.357969
Doga13.JPG,Doga,0.432954
Doga14.JPG,Doga,0.342881
Doga15.JPG,Doga,0.342549
Doga16.JPG,Doga,0.540307
Doga17.JPG,Doga,0.488724
Doga18.JPG,Doga,0.407050
Doga19.JPG,Doga,0.476309
Doga2.JPG,Doga,0.396675
Doga20.JPG,Doga,0.405329
Doga21.JPG,Doga,0.413630
Doga22.jpg,Doga,0.380396
Doga23.jpg,Doga,0.413111
Doga24.jpg,Doga,0.358145
Doga25.jpg,Doga,0.300340
Doga3.JPG,Doga,0.351270
Doga4.JPG,Doga,0.457200
Doga5.JPG,Doga,0.496145
Doga6.JPG,Doga,0.441597
Doga7.JPG,Doga,0.342399
Doga8.JPG,Doga,0.341951
Doga9.JPG,Doga,0.441231
Yabanci.png,Yabanci,0.560610
Yabanci1.jpeg,Yabanci,0.776771
Yabanci10.png,Yabanci,0.799445
Yabanci11.png,Yabanci,0.633069
Yabanci12.png,Yabanci,0.665853
Yabanci13.png,Yabanci,0.670724
Yabanci14.png,Yabanci,0.831366
Yabanci15.png,Yabanci,0.674858
Yabanci16.png,Yabanci,0.657021
Yabanci17.png,Yabanci,0.613361
Yabanci18.png,Yabanci,0.680718
Yabanci19.png,Yabanci,0.561976
Yabanci2.png,Yabanci,0.725185
Yabanci20.png,Yabanci,0.523509
Yabanci21.png,Yabanci,0.725070
Yabanci22.png,Yabanci,0.784944
Yabanci23.jpeg,Yabanci,0.548528
Yabanci24.jpeg,Yabanci,0.733397
Yabanci25.jpeg,Yabanci,0.648759
Yabanci3.png,Yabanci,0.759367
Yabanci4.png,Yabanci,0.843215
Yabanci5.png,Yabanci,0.843783
Yabanci6.png,Yabanci,0.857856
Yabanci7.png,Yabanci,0.803103
Yabanci8.png,Yabanci,0.543759
Yabanci9.png,Yabanci,0.821695
