filename,true_class,score
Doga1.JPG,Doga,0.366268
Doga10.jpeg,Doga,0.189277
Doga11.JPG,Doga,0.186698
Doga12.JPG,Doga,0.231202
Doga13.JPG,Doga,0.287575
Doga14.JPG,Doga,0.247675
Doga15.JPG,Doga,0.212126
Doga16.JPG,Doga,0.289828
Doga17.JPG,Doga,0.262215
Doga18.JPG,Doga,0.323423
Doga19.JPG,Doga,0.289667
Doga2.JPG,Doga,0.231668
Doga20.JPG,Doga,0.225183
Doga21.JPG,Doga,0.181630
Doga22.jpg,Doga,0.272677
Doga23.jpg,Doga,0.303280
Doga24.jpg,Doga,0.252761
Doga25.jpg,Doga,0.245260
Doga3.JPG,Doga,0.239971
Doga4.JPG,Doga,0.289149
Doga5.JPG,Doga,0.303168
Doga6.JPG,Doga,0.292632
Doga7.JPG,Doga,0.216589
Doga8.JPG,Doga,0.327036
Doga9.JPG,Doga,0.305847
Yabanci.png,Yabanci,0.671708
Yabanci1.jpeg,Yabanci,0.566215
Yabanci10.png,Yabanci,0.409526
Yabanci11.png,Yabanci,0.505327
Yabanci12.png,Yabanci,0.374040
Yabanci13.png,Yabanci,0.560696
Yabanci14.png,Yabanci,0.669516
Yabanci15.png,Yabanci,0.404124
Yabanci16.png,Yabanci,0.445972
Yabanci17.png,Yabanci,0.578707
Yabanci18.png,Yabanci,0.521000
Yabanci19.png,Yabanci,0.406852
Yabanci2.png,Yabanci,0.734825
Yabanci20.png,Yabanci,0.533700
Yabanci21.png,Yabanci,0.496587
Yabanci22.png,Yabanci,0.432382
Yabanci23.jpeg,Yabanci,0.408418
Yabanci24.jpeg,Yabanci,0.679145
Yabanci25.jpeg,Yabanci,0.455195
Yabanci3.png,Yabanci,0.546468
Yabanci4.png,Yabanci,0.779480
Yabanci5.png,Yabanci,0.626333
Yabanci6.png,Yabanci,0.760463
Yabanci7.png,Yabanci,0.760344
Yabanci8.png,Yabanci,0.460763
Yabanci9.png,Yabanci,0.624074
lfw_000_Jose_Carlo_Fernandez.jpg,Yabanci,0.740730
lfw_001_Ludivine_Sagnier.jpg,Yabanci,0.576030
lfw_002_Nicolas_Escude.jpg,Yabanci,0.925207
lfw_003_Doris_Schroeder.jpg,Yabanci,0.748214
lfw_004_Kalpana_Chawla.jpg,Yabanci,0.708601
lfw_005_Ricardo_Lagos.jpg,Yabanci,0.793318
lfw_006_Mark_Richt.jpg,Yabanci,0.877741
lfw_007_Nestor_Kirchner.jpg,Yabanci,0.632787
lfw_008_Hamid_Karzai.jpg,Yabanci,0.836021
lfw_009_Lou_Piniella.jpg,Yabanci,0.884495
lfw_010_Alistair_MacDonald.jpg,Yabanci,0.789072
lfw_011_Arturo_Gatti.jpg,Yabanci,0.901393
lfw_012_Hu_Jintao.jpg,Yabanci,0.774548
lfw_013_Tony_Blair.jpg,Yabanci,0.794943
lfw_014_George_W_Bush.jpg,Yabanci,0.846657
lfw_015_Alan_Ball.jpg,Yabanci,0.783084
lfw_016_Demetrius_Ferraciu.jpg,Yabanci,0.776229
lfw_017_Charles_Tannok.jpg,Yabanci,0.695849
lfw_018_Amram_Mitzna.jpg,Yabanci,0.848441
lfw_019_Hisashi_Owada.jpg,Yabanci,0.695907
